,Title,Release Year,Runtime,Gross Worldwide Boxoffice
466,Crash,2005,112,98410061
467,Nightcrawler,2014,117,47425835
468,The Ten Commandments,1956,220,65500755
469,Jules and Jim,1962,105,487117
470,Gravity,2013,91,773031617
471,Miller's Crossing,1990,115,5080409
472,Boogie Nights,1997,155,43117303
473,Halloween,1978,91,47173315
474,The Fighter,2010,116,129190869
475,Miracle on 34th Street,1947,96,1742
476,My Left Foot,1990,103,14743391
477,The Edge of Heaven,2007,122,17804565
478,Captain Phillips,2013,134,218791811
479,The Man from Nowhere,2010,119,44723232
480,The Girl Who Leapt Through Time,2006,98,873659
481,Taken,2009,90,226837760
482,Cabaret,1972,124,77612
483,Hot Fuzz,2007,121,80581021
484,Kiki's Delivery Service,1990,103,10403278
485,Little Miss Sunshine,2006,101,101059571
486,The World's Fastest Indian,2006,127,18302013
487,Blue Is the Warmest Colour,2013,120,19796489
488,Ferris Bueller's Day Off,1986,103,70738901
489,Down by Law,1986,107,1529199
490,Veer-Zaara,2004,192,6693119
491,Batman: Mask of the Phantasm,1993,76,5863139
492,E.T. the Extra-Terrestrial,1982,115,797307407
493,Clerks,1994,92,3152360
494,Amour,2012,127,29664140
495,The Girl with the Dragon Tattoo,2011,158,232617430
496,Glengarry Glen Ross,1992,100,10726612
497,Adam's Apples,2005,94,2421577
498,Predator,1987,107,98268458
499,Tombstone,1993,130,56505065
500,The 39 Steps,1935,86,52623
501,Ordinary People,1980,124,54766923
502,Withnail and I,1987,107,1950623
503,The Day of the Jackal,1973,143,Data not available
504,I Saw the Devil,2010,144,12966357
505,The Best Offer,2014,131,20919703
506,Birdman or (The Unexpected Virtue of Ignorance),2014,119,103215094
507,The Motorcycle Diaries,2004,126,57663711
508,Evil,2003,113,528245
509,The Day the Earth Stood Still,1951,92,651
510,Black Book,2007,145,26768563
511,Hamlet,1996,242,6296790
512,The Triplets of Belleville,2004,80,14776760
513,Mississippi Burning,1989,128,34603943
514,Misery,1990,107,61277597
515,Tangled,2010,100,591806017
516,Evil Dead II,1987,84,5932279
517,Office Space,1999,89,10829894
518,Drive,2011,100,79747261
519,The Magnificent Seven,1960,128,416
520,Kuch Kuch Hota Hai,1998,185,10471
521,Silver Linings Playbook,2012,122,236412453
522,Guess Who's Coming to Dinner,1967,108,56666797
523,Open Your Eyes,1997,119,377967
524,The Wind Rises,2014,126,136865366
525,About Time,2013,123,87100748
526,Star Trek Into Darkness,2013,132,467365246
527,Willy Wonka & the Chocolate Factory,1971,100,669890
528,American Gangster,2007,157,269755430
529,Kingsman: The Secret Service,2015,129,414351546
530,Fantasia,1941,124,76411819
531,Gattaca,1997,106,12533504
532,Fantastic Mr. Fox,2009,87,58091644
533,Back to the Future Part II,1989,108,332500002
534,The Boy in the Striped Pajamas,2008,94,40416563
535,Empire of the Sun,1987,153,22239121
536,Porco Rosso,1994,94,1458536
537,Waking Life,2002,99,3176880
538,October Sky,1999,108,34698753
539,Love and Death,1975,85,20123742
540,Belle de Jour,1968,100,4162334
541,Blue Velvet,1986,120,8638396
542,Moonrise Kingdom,2012,94,68265576
543,Rebel Without a Cause,1955,111,217945
544,The French Connection,1971,104,51702099
545,In America,2004,105,25382911
546,Ghostbusters,1984,105,296578797
547,The Lego Movie,2014,100,470759687
548,The Last of the Mohicans,1992,112,75506530
549,Pride & Prejudice,2005,129,121616555
550,Apocalypto,2006,139,120654337
551,Happiness,1998,134,2982321
552,The Curious Case of Benjamin Button,2008,166,335802786
553,The Lunchbox,2013,104,11621785
554,Repulsion,1965,105,33174
555,Dirty Harry,1971,102,35988495
556,The White Ribbon,2010,144,19353588
557,Zelig,1983,79,11798616
558,Hedwig and the Angry Inch,2001,95,3660081
559,Captain America: The Winter Soldier,2014,136,714421503
560,Invasion of the Body Snatchers,1956,80,3717
561,The Dirty Dozen,1967,150,Data not available
562,Airplane!,1980,88,83455547
563,Atonement,2008,123,129266061
564,Zulu,1964,138,Data not available
565,"O Brother, Where Art Thou?",2001,107,71871136
566,Harry Potter and the Prisoner of Azkaban,2004,142,808485409
567,Wreck-It Ralph,2012,101,471222950
568,The Hangover,2009,100,469328922
569,Night on Earth,1991,129,2113387
570,The Fugitive,1993,130,368875760
571,The Goonies,1985,114,64531113
572,X-Men: First Class,2011,131,352616690
573,The Longest Day,1962,178,Data not available
574,The Color Purple,1986,154,98468102
575,The Last Emperor,1988,163,43994979
576,"South Park: Bigger, Longer & Uncut",1999,81,83137864
577,Lost in Translation,2003,102,118688756
578,From Here to Eternity,1953,118,36416
579,Run Lola Run,1999,80,7659098
580,Pride,2014,119,19014619
581,Kung Fu Hustle,2005,99,104882445
582,Lucky Number Slevin,2006,110,56308881
583,Boyz n the Hood,1991,112,57532703
584,The Tenant,1976,126,1924733
585,Mary Poppins,1965,139,103125597
586,The Game,1997,129,109423648
587,Being John Malkovich,1999,113,23106795
588,Breakfast at Tiffany's,1961,115,594615
589,The Experiment,2001,120,13782896
590,Blazing Saddles,1974,93,119623948
591,Donnie Brasco,1997,127,124909762
592,The Name of the Rose,1986,130,7153487
593,The Broken Circle Breakdown,2012,111,6041503
594,What's Eating Gilbert Grape,1994,118,10032765
595,Finding Neverland,2004,106,116650613
596,Changeling,2008,141,113398237
597,500 Days of Summer,2009,95,60801288
598,Argo,2012,120,232325503
599,Serpico,1973,130,29857918
600,Goldfinger,1965,110,51218064
601,The Sandlot,1993,101,34348443
602,Skyfall,2012,143,1108594137
603,3:10 to Yuma,2007,122,70016220
604,The Bourne Supremacy,2004,108,290835269
605,Awakenings,1991,121,52096475
606,Kramer vs. Kramer,1979,105,106260000
607,The Social Network,2010,120,224927749
608,Nebraska,2014,115,27682872
609,A Bronx Tale,1993,121,17287898
610,Ocean's Eleven,2001,116,450717150
611,Ray,2004,152,123971376
612,Control,2007,122,8159508
613,As Good as It Gets,1997,139,314178011
614,300,2007,117,456082343
615,The King of Comedy,1982,109,2537298
616,The Birds,1963,119,54531
617,The Purple Rose of Cairo,1985,82,10631333
618,Remember the Titans,2000,113,136771683
619,Deliverance,1972,109,4550
620,Battle Royale,2000,114,1343717
621,The Red Violin,1999,130,10019109
622,Good Bye Lenin!,2004,121,79316957
623,Man on Fire,2004,146,130834852
624,Sabrina,1954,113,2356
625,The Theory of Everything,2014,123,123726688
626,Star Trek II: The Wrath of Khan,1982,113,79822604
627,Flipped,2010,90,4324817
628,A Hard Day's Night,1964,87,2362523
629,The Count of Monte Cristo,2002,131,75395048
630,Road to Perdition,2002,117,181001478
631,Rushmore,1999,93,17198495
632,The Machinist,2004,101,8203235
633,Dark City,1998,100,27201335
634,Detachment,2012,98,1688710
635,Ant-Man,2015,117,519311965
636,Adaptation.,2003,115,32802440
637,Paprika,2007,90,961196
638,Barton Fink,1991,116,6154106
639,Dead Man's Shoes,2004,90,241688
